HOG	OG	Gene Tree Parent Clade	Aq	Ga	GaY	Gw	GwY	Pp
N0.HOG0017281	OG0015411	n0	ApeQuad_25493.1	rna-XM_040166515.1		g12818.t1		rna-XM_037453205.2
N0.HOG0017282	OG0015412	n0	ApeQuad_25494.1	rna-XM_040164500.1		g12816.t1		rna-XM_037453194.2
N0.HOG0017283	OG0015413	n0	ApeQuad_25495.1	rna-XM_040164513.1		g12815.t1		rna-XM_037453206.2
N0.HOG0017284	OG0015414	n0	ApeQuad_25496.1	rna-XM_040164496.1		g12814.t1		rna-XM_062565462.1
N0.HOG0017285	OG0015415	n0	ApeQuad_25497.1	rna-XM_040164517.1		g12813.t1		rna-XM_037454537.2
N0.HOG0017286	OG0015416	n0	ApeQuad_25498.1	rna-XM_040164502.1		g12812.t2		rna-XM_037454532.2
N0.HOG0017287	OG0015417	n0	ApeQuad_25499.4	rna-XM_040164505.1		g12811.t1		rna-XM_037454534.2
N0.HOG0017288	OG0015418	n0	ApeQuad_25506.1	rna-XM_040166474.1		g12807.t1		rna-XM_037452785.2
N0.HOG0017289	OG0015419	n0	ApeQuad_25508.1	rna-XM_040166469.1		g12805.t1		rna-XM_062565452.1
N0.HOG0017290	OG0015420	n0	ApeQuad_25509.6	rna-XM_040166465.1		g12803.t1		rna-XM_062565442.1
N0.HOG0017291	OG0015421	n0	ApeQuad_25512.1	rna-XM_040164762.1		g12801.t1		rna-XM_037454809.2
N0.HOG0017292	OG0015422	n0	ApeQuad_25514.1	rna-XM_040165241.1		g12800.t1		rna-XM_037453701.2
N0.HOG0017293	OG0015423	n0	ApeQuad_25516.1	rna-XM_040166073.1		g12797.t1		rna-XM_037454540.2
N0.HOG0017294	OG0015424	n0	ApeQuad_25517.1	rna-XM_040165356.1		g12796.t1		rna-XM_037453704.2
N0.HOG0017295	OG0015425	n0	ApeQuad_25520.1	rna-XM_040166252.1		g12793.t1		rna-XM_037452800.2
N0.HOG0017296	OG0015426	n0	ApeQuad_25521.1	rna-XM_040166260.1		g12792.t2		rna-XM_037452771.2
N0.HOG0017297	OG0015427	n0	ApeQuad_25522.1	rna-XM_040166399.1		g12791.t1		rna-XM_037452793.2
N0.HOG0017298	OG0015428	n0	ApeQuad_25524.5	rna-XM_040165044.1		g12790.t1		rna-XM_037452790.2
N0.HOG0017299	OG0015429	n0	ApeQuad_25527.2	rna-XM_040164697.1		g12789.t1		rna-XM_037452804.2
N0.HOG0017300	OG0015430	n0	ApeQuad_25528.2	rna-XM_040164693.1		g12788.t2		rna-XM_037452794.2
N0.HOG0017301	OG0015431	n0	ApeQuad_25529.2	rna-XM_040164696.1		g12787.t1		rna-XM_037452802.2
N0.HOG0017302	OG0015432	n0	ApeQuad_25530.1	rna-XM_040164692.1		g12786.t1		rna-XM_037452782.2
N0.HOG0017303	OG0015433	n0	ApeQuad_25539.1	rna-XM_040165935.1		g12770.t1		rna-XM_037452747.2
N0.HOG0017304	OG0015434	n0	ApeQuad_25540.1	rna-XM_040165934.1		g12771.t1		rna-XM_037454947.2
N0.HOG0017305	OG0015435	n0	ApeQuad_25541.1	rna-XM_040166027.1		g12772.t1		rna-XM_037452743.2
N0.HOG0017306	OG0015436	n0	ApeQuad_25542.1	rna-XM_040164732.1		g12773.t1		rna-XM_062565450.1
N0.HOG0017307	OG0015437	n0	ApeQuad_25544.1	rna-XM_040164747.1		g12774.t1		rna-XM_037455009.2
N0.HOG0017308	OG0015438	n0	ApeQuad_25545.2	rna-XM_040164728.1		g12775.t2		rna-XM_037454867.2
N0.HOG0017309	OG0015439	n0	ApeQuad_25551.1	rna-XM_040164740.1		g12779.t1		rna-XM_037452851.2
N0.HOG0017310	OG0015440	n0	ApeQuad_25558.1	rna-XM_040165137.1		g12647.t1		rna-XM_037454805.2
N0.HOG0017311	OG0015441	n0	ApeQuad_25559.1	rna-XM_040165134.1		g12648.t1		rna-XM_037454750.2
N0.HOG0017312	OG0015442	n0	ApeQuad_25560.1	rna-XM_040165136.1		g12649.t1		rna-XM_037454804.2
N0.HOG0017313	OG0015443	n0	ApeQuad_25561.8	rna-XM_040164595.1		g12650.t4		rna-XM_062565557.1
N0.HOG0017314	OG0015444	n0	ApeQuad_25562.2	rna-XM_040164894.1		g12651.t1		rna-XM_037454755.2
N0.HOG0017315	OG0015445	n0	ApeQuad_25565.1	rna-XM_040165569.1		g12656.t1		rna-XM_037454761.2
N0.HOG0017316	OG0015446	n0	ApeQuad_25567.1	rna-XM_040166361.1		g12657.t1		rna-XM_037454789.2
N0.HOG0017317	OG0015447	n0	ApeQuad_25568.2	rna-XM_040164954.1		g12658.t1		rna-XM_037454795.2
N0.HOG0017318	OG0015448	n0	ApeQuad_25569.1	rna-XM_040164956.1		g12659.t1		rna-XM_037454800.2
N0.HOG0017319	OG0015449	n0	ApeQuad_25570.2	rna-XM_040164953.1		g12660.t1		rna-XM_037454799.2
N0.HOG0017320	OG0015450	n0	ApeQuad_25572.1	rna-XM_040164957.1		g12662.t1		rna-XM_037454807.2
N0.HOG0017321	OG0015451	n0	ApeQuad_25573.2	rna-XM_040165560.1		g12663.t1		rna-XM_037454785.2
N0.HOG0017322	OG0015452	n0	ApeQuad_25575.1	rna-XM_040165561.1		g12664.t1		rna-XM_037454803.2
N0.HOG0017323	OG0015453	n0	ApeQuad_25576.1	rna-XM_040166036.1		g12665.t1		rna-XM_062565554.1
N0.HOG0017324	OG0015454	n0	ApeQuad_25579.2	rna-XM_040164833.1		g12667.t4		rna-XM_062565569.1
N0.HOG0017325	OG0015455	n0	ApeQuad_25582.1	rna-XM_040166109.1		g12669.t1		rna-XM_062565685.1
N0.HOG0017326	OG0015456	n0	ApeQuad_25583.1	rna-XM_040164412.1		g12670.t1		rna-XM_062565694.1
N0.HOG0017327	OG0015457	n0	ApeQuad_25584.1	rna-XM_040164409.1		g12671.t1		rna-XM_037455092.2
N0.HOG0017328	OG0015458	n0	ApeQuad_25586.1	rna-XM_040164408.1		g12672.t1		rna-XM_037454939.2
N0.HOG0017329	OG0015459	n0	ApeQuad_25587.1	rna-XM_040166249.1		g12674.t1		rna-XM_037454938.2
N0.HOG0017330	OG0015460	n0	ApeQuad_25588.2	rna-XM_040165028.1		g12675.t1		rna-XM_037452809.2
N0.HOG0017331	OG0015461	n0	ApeQuad_25589.2	rna-XM_040165025.1		g12676.t1		rna-XM_037452810.2
N0.HOG0017332	OG0015462	n0	ApeQuad_25591.1	rna-XM_040165897.1		g12677.t1		rna-XM_062565698.1
N0.HOG0017333	OG0015463	n0	ApeQuad_25592.1	rna-XM_040165379.1		g12679.t2		rna-XM_037452826.2
N0.HOG0017334	OG0015464	n0	ApeQuad_25600.1, ApeQuad_25611.1	rna-XM_040165546.1, rna-XM_040164256.1				
N0.HOG0017335	OG0015465	n0	ApeQuad_25601.1	rna-XM_040165544.1		g12682.t1		rna-XM_037454863.2
N0.HOG0017336	OG0015466	n0	ApeQuad_25607.1	rna-XM_040165967.1		g12685.t1		rna-XM_062560311.1
N0.HOG0017337	OG0015467	n0	ApeQuad_25614.1	rna-XM_040165383.1		g12687.t2		rna-XM_062560533.1
N0.HOG0017338	OG0015468	n0	ApeQuad_25616.1	rna-XM_040164687.1		g12689.t1		rna-XM_037453167.2
N0.HOG0017339	OG0015469	n0	ApeQuad_25617.1	rna-XM_040166427.1		g12690.t1		rna-XM_037454685.2
N0.HOG0017340	OG0015470	n0	ApeQuad_25619.2	rna-XM_040165423.1		g12691.t1		rna-XM_062565552.1
N0.HOG0017341	OG0015471	n0	ApeQuad_25620.2	rna-XM_040165938.1		g12692.t1		rna-XM_037454690.2
N0.HOG0017342	OG0015472	n0	ApeQuad_25622.2	rna-XM_040164480.1		g12693.t1		rna-XM_037454660.2
N0.HOG0017343	OG0015473	n0	ApeQuad_25623.1	rna-XM_040164484.1		g12694.t1		rna-XM_037454669.2
N0.HOG0017344	OG0015474	n0	ApeQuad_25624.1	rna-XM_040164483.1		g12695.t2		rna-XM_037454665.2
N0.HOG0017345	OG0015475	n0	ApeQuad_25625.1	rna-XM_040164138.1		g12696.t2		rna-XM_037454687.2
N0.HOG0017346	OG0015476	n0	ApeQuad_25626.1	rna-XM_040165232.1		g12698.t1		rna-XM_037454678.2
N0.HOG0017347	OG0015477	n0	ApeQuad_25627.1	rna-XM_040165234.1		g12699.t1		rna-XM_037454683.2
N0.HOG0017348	OG0015478	n0	ApeQuad_25628.2	rna-XM_040164934.1		g12700.t1		rna-XM_037454681.2
N0.HOG0017349	OG0015479	n0	ApeQuad_25629.2	rna-XM_040164929.1		g12701.t2		rna-XM_062565551.1
N0.HOG0017350	OG0015480	n0	ApeQuad_25630.3	rna-XM_040165581.1		g12702.t2		rna-XM_037454673.2
N0.HOG0017351	OG0015481	n0	ApeQuad_25632.1	rna-XM_040164267.1		g12703.t3		rna-XM_037454651.2
N0.HOG0017352	OG0015482	n0	ApeQuad_25633.1	rna-XM_040164559.1		g12704.t1		rna-XM_037454659.2
N0.HOG0017353	OG0015483	n0	ApeQuad_25634.1	rna-XM_040164562.1		g12705.t1		rna-XM_037454675.2
N0.HOG0017354	OG0015484	n0	ApeQuad_25636.1	rna-XM_040164560.1		g12706.t2		rna-XM_037454663.2
N0.HOG0017355	OG0015485	n0	ApeQuad_25638.1	rna-XM_040165929.1		g12707.t1		rna-XM_037454294.2
N0.HOG0017356	OG0015486	n0	ApeQuad_25639.2	rna-XM_040165927.1		g12708.t2		rna-XM_037455052.2
N0.HOG0017357	OG0015487	n0	ApeQuad_25640.1	rna-XM_040165610.1		g12709.t1		rna-XM_037452833.2
N0.HOG0017358	OG0015488	n0	ApeQuad_25641.2	rna-XM_040166274.1		g12710.t1		rna-XM_037452835.2
N0.HOG0017359	OG0015489	n0	ApeQuad_25644.1	rna-XM_040166272.1		g12713.t1		rna-XM_037455150.2
N0.HOG0017360	OG0015490	n0	ApeQuad_25647.1	rna-XM_040165498.1		g12715.t1		rna-XM_037455077.2
N0.HOG0017361	OG0015491	n0	ApeQuad_25648.1	rna-XM_040165505.1		g12716.t1		rna-XM_037455065.2
N0.HOG0017362	OG0015492	n0	ApeQuad_25650.1	rna-XM_040165492.1		g12717.t1		rna-XM_037455060.2
N0.HOG0017363	OG0015493	n0	ApeQuad_25651.1	rna-XM_040165508.1		g12718.t2		rna-XM_037453028.2
N0.HOG0017364	OG0015494	n0	ApeQuad_25652.1	rna-XM_040165522.1		g12719.t1		rna-XM_037453031.2
N0.HOG0017365	OG0015495	n0	ApeQuad_25654.1	rna-XM_040165503.1		g12720.t1		rna-XM_037453027.2
N0.HOG0017366	OG0015496	n0	ApeQuad_25663.1	rna-XM_040164876.1		g12727.t1		rna-XM_037454152.2
N0.HOG0017367	OG0015497	n0	ApeQuad_25664.1	rna-XM_040164533.1		g12728.t1		rna-XM_037455168.2
N0.HOG0017368	OG0015498	n0	ApeQuad_25665.1	rna-XM_040164531.1		g12729.t1		rna-XM_037454551.2
N0.HOG0017369	OG0015499	n0	ApeQuad_25666.1	rna-XM_040166068.1		g12730.t1		rna-XM_062565684.1
N0.HOG0017370	OG0015500	n0	ApeQuad_25667.1	rna-XM_040165102.1		g12731.t1		rna-XM_062565425.1
N0.HOG0017371	OG0015501	n0	ApeQuad_25668.1	rna-XM_040165096.1		g12732.t1		rna-XM_037454552.2
N0.HOG0017372	OG0015502	n0	ApeQuad_25670.1	rna-XM_040164163.1		g12733.t1		rna-XM_037454897.2
N0.HOG0017373	OG0015503	n0	ApeQuad_25672.3	rna-XM_040164165.1		g12734.t1		rna-XM_037452939.2
N0.HOG0017374	OG0015504	n0	ApeQuad_25673.1	rna-XM_040164170.1		g12735.t1		rna-XM_037452940.2
N0.HOG0017375	OG0015505	n0	ApeQuad_25674.1	rna-XM_040164162.1		g12736.t2		rna-XM_062565262.1
N0.HOG0017376	OG0015506	n0	ApeQuad_25675.1	rna-XM_040164164.1		g12737.t1		rna-XM_037452938.2
N0.HOG0017377	OG0015507	n0	ApeQuad_25678.1	rna-XM_040166516.1		g12738.t1		rna-XM_037454265.2
N0.HOG0017378	OG0015508	n0	ApeQuad_25681.1	rna-XM_040166505.1		g12740.t1		rna-XM_037454857.2
N0.HOG0017379	OG0015509	n0	ApeQuad_25682.1	rna-XM_040166502.1		g12638.t1		rna-XM_037454860.2
N0.HOG0017380	OG0015510	n0	ApeQuad_25683.1	rna-XM_040166499.1		g12741.t1		rna-XM_037454915.2
N0.HOG0017381	OG0015511	n0	ApeQuad_25685.1	rna-XM_040166372.1		g12744.t1		rna-XM_062560345.1
N0.HOG0017382	OG0015512	n0	ApeQuad_25688.1	rna-XM_040165072.1		g12745.t2		rna-XM_037454304.2
N0.HOG0017383	OG0015513	n0	ApeQuad_25689.1	rna-XM_040165060.1		g12746.t2		rna-XM_037454506.2
N0.HOG0017384	OG0015514	n0	ApeQuad_25692.1	rna-XM_040165054.1		g12747.t1		rna-XM_037453661.2
N0.HOG0017385	OG0015515	n0	ApeQuad_25693.1	rna-XM_040165066.1		g12748.t1		rna-XM_037453662.2
N0.HOG0017386	OG0015516	n0	ApeQuad_25694.1	rna-XM_040165069.1		g12749.t1		rna-XM_037453663.2
N0.HOG0017387	OG0015517	n0	ApeQuad_25695.1	rna-XM_040165070.1		g12750.t1		rna-XM_037453666.2
N0.HOG0017388	OG0015518	n0	ApeQuad_25696.1	rna-XM_040164891.1		g12751.t1		rna-XM_037455051.2
N0.HOG0017389	OG0015519	n0	ApeQuad_25699.1	rna-XM_040164889.1		g12752.t1		rna-XM_062565611.1
N0.HOG0017390	OG0015520	n0	ApeQuad_25702.1	rna-XM_040164132.1		g12755.t2		rna-XM_037453057.2
N0.HOG0017391	OG0015521	n0	ApeQuad_25703.1	rna-XM_040164137.1		g12756.t1		rna-XM_037454320.2
N0.HOG0017392	OG0015522	n0	ApeQuad_25705.3	rna-XM_040166424.1		g12759.t1		rna-XM_037453537.2
N0.HOG0017393	OG0015523	n0	ApeQuad_25707.1	rna-XM_040164197.1		g12760.t1		rna-XM_037454614.2
N0.HOG0017394	OG0015524	n0	ApeQuad_25708.1	rna-XM_040164191.1		g12761.t1		rna-XM_037454366.2
N0.HOG0017395	OG0015525	n0	ApeQuad_25709.1	rna-XM_040164194.1		g12762.t2		rna-XM_062565550.1
N0.HOG0017396	OG0015526	n0	ApeQuad_25711.1	rna-XM_040164193.1		g12763.t1		rna-XM_037453538.2
N0.HOG0017397	OG0015527	n0	ApeQuad_25712.1	rna-XM_040164190.1		g12764.t1		rna-XM_037454876.2
N0.HOG0017398	OG0015528	n0	ApeQuad_25714.1	rna-XM_040164209.1		g12765.t1		rna-XM_037454882.2
N0.HOG0017399	OG0015529	n0	ApeQuad_25715.3	rna-XM_040164205.1		g12766.t1		rna-XM_037454880.2
N0.HOG0017400	OG0015530	n0	ApeQuad_25716.1	rna-XM_040164208.1		g12767.t1		rna-XM_037454881.2
N0.HOG0017401	OG0015531	n0	ApeQuad_25717.3	rna-XM_040164203.1		g12768.t1		rna-XM_037452760.2
N0.HOG0017402	OG0015532	n0	ApeQuad_25718.1	rna-XM_040164207.1		g12769.t1		rna-XM_037454949.2
N0.HOG0017403	OG0015533	n0	ApeQuad_25719.1	rna-XM_040164200.1		g12639.t1		rna-XM_037455086.2
N0.HOG0017404	OG0015534	n0	ApeQuad_25720.1	rna-XM_040164199.1		g12640.t1		rna-XM_037454430.2
N0.HOG0017405	OG0015535	n0	ApeQuad_25726.1	rna-XM_040166067.1		g12643.t1		rna-XM_037455021.2
N0.HOG0017406	OG0015536	n0	ApeQuad_25727.1	rna-XM_040166258.1		g12644.t1		rna-XM_037453967.2
N0.HOG0017407	OG0015537	n0	ApeQuad_25729.1	rna-XM_040166058.1		g12645.t1		rna-XM_037455006.2
N0.HOG0017408	OG0015538	n0	ApeQuad_25731.1	rna-XM_040166199.1		g12646.t1		rna-XM_037455013.2
N0.HOG0017409	OG0015539	n0	ApeQuad_25735.1	rna-XM_040165247.1		g12636.t1		rna-XM_037454008.2
N0.HOG0017410	OG0015540	n0	ApeQuad_25737.1	rna-XM_040165248.1		g12634.t1		rna-XM_037454009.2
N0.HOG0017411	OG0015541	n0	ApeQuad_25738.2	rna-XM_040165985.1		g12633.t1		rna-XM_037454808.2
N0.HOG0017412	OG0015542	n0	ApeQuad_25740.2	rna-XM_040165628.1		g12632.t2		rna-XM_037454030.2
N0.HOG0017413	OG0015543	n0	ApeQuad_25742.1	rna-XM_040164235.1		g12631.t1		rna-XM_062565586.1
N0.HOG0017414	OG0015544	n0	ApeQuad_25744.2	rna-XM_040164238.1		g12630.t2		rna-XM_062565503.1
N0.HOG0017415	OG0015545	n0	ApeQuad_25745.3	rna-XM_040164240.1		g12629.t1		rna-XM_037454357.2
N0.HOG0017416	OG0015546	n0	ApeQuad_25746.2	rna-XM_040164459.1		g12628.t1		rna-XM_037454319.2
N0.HOG0017417	OG0015547	n0	ApeQuad_25747.1	rna-XM_040164461.1		g12627.t1		rna-XM_037455068.2
N0.HOG0017418	OG0015548	n0	ApeQuad_25748.1	rna-XM_040164464.1		g12626.t1		rna-XM_037454619.2
N0.HOG0017419	OG0015549	n0	ApeQuad_25749.1	rna-XM_040164463.1		g12625.t1		rna-XM_037454618.2
N0.HOG0017420	OG0015550	n0	ApeQuad_25750.1	rna-XM_040164457.1		g12624.t1		rna-XM_037454616.2
N0.HOG0017421	OG0015551	n0	ApeQuad_25755.1	rna-XM_040164577.1		g12619.t1		rna-XM_037453564.2
N0.HOG0017422	OG0015552	n0	ApeQuad_25756.1	rna-XM_040164580.1		g12618.t1		rna-XM_062565380.1
N0.HOG0017423	OG0015553	n0	ApeQuad_25757.1	rna-XM_040164579.1		g12616.t2		rna-XM_062565563.1
N0.HOG0017424	OG0015554	n0	ApeQuad_25758.1	rna-XM_040164572.1		g12615.t1		rna-XM_062565378.1
N0.HOG0017425	OG0015555	n0	ApeQuad_25759.1	rna-XM_040165142.1		g12614.t1		rna-XM_037453524.2
N0.HOG0017426	OG0015556	n0	ApeQuad_25761.1	rna-XM_040165147.1		g12613.t1		rna-XM_037453528.2
N0.HOG0017427	OG0015557	n0	ApeQuad_25763.1	rna-XM_040164453.1		g12611.t1		rna-XM_037454592.2
N0.HOG0017428	OG0015558	n0	ApeQuad_25764.1	rna-XM_040164452.1		g12610.t1		rna-XM_037454590.2
N0.HOG0017429	OG0015559	n0	ApeQuad_25765.1	rna-XM_040164451.1		g12609.t1		rna-XM_037454589.2
N0.HOG0017430	OG0015560	n0	ApeQuad_25767.1	rna-XM_040164448.1		g12607.t1		rna-XM_037454581.2
N0.HOG0017431	OG0015561	n0	ApeQuad_25768.1	rna-XM_040164888.1		g12606.t2		rna-XM_062565562.1
N0.HOG0017432	OG0015562	n0	ApeQuad_25771.1	rna-XM_040164447.1		g12604.t1		rna-XM_037455026.2
N0.HOG0017433	OG0015563	n0	ApeQuad_25772.1	rna-XM_040165986.1		g12603.t1		rna-XM_037454736.2
N0.HOG0017434	OG0015564	n0	ApeQuad_25774.5	rna-XM_040164887.1		g12602.t1		rna-XM_062565579.1
N0.HOG0017435	OG0015565	n0	ApeQuad_25775.1	rna-XM_040166056.1		g12601.t1		rna-XM_037455022.2
N0.HOG0017436	OG0015566	n0	ApeQuad_25784.1	rna-XM_040164555.1		g12599.t1		rna-XM_037454171.2
N0.HOG0017437	OG0015567	n0	ApeQuad_25786.1	rna-XM_040164556.1		g12598.t1		rna-XM_037454172.2
N0.HOG0017438	OG0015568	n0	ApeQuad_25787.1	rna-XM_040164554.1		g12597.t1		rna-XM_037455031.2
N0.HOG0017439	OG0015569	n0	ApeQuad_25791.1	rna-XM_040165983.1		g12594.t1		rna-XM_037454150.2
N0.HOG0017440	OG0015570	n0	ApeQuad_25796.1	rna-XM_040166398.1		g12592.t1		rna-XM_062565756.1
N0.HOG0017441	OG0015571	n0	ApeQuad_25797.1	rna-XM_040164963.1		g12591.t1		rna-XM_062565755.1
N0.HOG0017442	OG0015572	n0	ApeQuad_25799.1	rna-XM_040164965.1		g12589.t1		rna-XM_037453217.2
N0.HOG0017443	OG0015573	n0	ApeQuad_25800.1	rna-XM_040164961.1		g12588.t1		rna-XM_062565561.1
N0.HOG0017444	OG0015574	n0	ApeQuad_25805.1	rna-XM_040165342.1		g12580.t1		rna-XM_062565754.1
N0.HOG0017445	OG0015575	n0	ApeQuad_25806.3	rna-XM_040165327.1		g12579.t3		rna-XM_037452902.2
N0.HOG0017446	OG0015576	n0	ApeQuad_25812.1	rna-XM_040165350.1		g12573.t1		rna-XM_037452921.2
N0.HOG0017447	OG0015577	n0	ApeQuad_25813.1	rna-XM_040165339.1		g12572.t2		rna-XM_037452910.2
N0.HOG0017448	OG0015578	n0	ApeQuad_25814.3	rna-XM_040166194.1		g12571.t2		rna-XM_037452901.2
N0.HOG0017449	OG0015579	n0	ApeQuad_25816.1	rna-XM_040166197.1		g12570.t1		rna-XM_037452916.2
N0.HOG0017450	OG0015580	n0	ApeQuad_25817.3	rna-XM_040166195.1		g12569.t2		rna-XM_062565374.1
N0.HOG0017451	OG0015581	n0	ApeQuad_25820.1	rna-XM_040164159.1		g12567.t1		rna-XM_037454887.2
N0.HOG0017452	OG0015582	n0	ApeQuad_25821.1	rna-XM_040164161.1		g12566.t2		rna-XM_037453286.2
N0.HOG0017453	OG0015583	n0	ApeQuad_25822.1	rna-XM_040164160.1		g12565.t1		rna-XM_037454075.2
N0.HOG0017454	OG0015584	n0	ApeQuad_25823.1	rna-XM_040165588.1		g12564.t1		rna-XM_037454079.2
N0.HOG0017455	OG0015585	n0	ApeQuad_25824.1	rna-XM_040165584.1		g12563.t1		rna-XM_037454083.2
N0.HOG0017456	OG0015586	n0	ApeQuad_25825.1	rna-XM_040165586.1		g12562.t1		rna-XM_037454078.2
N0.HOG0017457	OG0015587	n0	ApeQuad_25827.1	rna-XM_040165373.1		g12560.t1		rna-XM_037454045.2
N0.HOG0017458	OG0015588	n0	ApeQuad_25828.1	rna-XM_040166050.1		g12558.t1		rna-XM_062565676.1
N0.HOG0017459	OG0015589	n0	ApeQuad_25829.1			g12557.t1		rna-XM_037454711.2, rna-XM_037454119.2
N0.HOG0017460	OG0015590	n0	ApeQuad_25831.1	rna-XM_040164989.1		g12556.t2		rna-XM_037454053.2
N0.HOG0017461	OG0015591	n0	ApeQuad_25832.1	rna-XM_040166075.1		g12555.t1		rna-XM_037454047.2
N0.HOG0017462	OG0015592	n0	ApeQuad_25833.1	rna-XM_040166079.1		g12554.t1		rna-XM_037454130.2
N0.HOG0017463	OG0015593	n0	ApeQuad_25835.2	rna-XM_040166250.1		g12553.t1		rna-XM_037454048.2
N0.HOG0017464	OG0015594	n0	ApeQuad_25836.1	rna-XM_040164626.1		g12552.t1		rna-XM_037454112.2
N0.HOG0017465	OG0015595	n0	ApeQuad_25837.1	rna-XM_040164627.1		g12551.t1		rna-XM_037454127.2
N0.HOG0017466	OG0015596	n0	ApeQuad_25838.1	rna-XM_040164623.1		g12550.t1		rna-XM_037454096.2
N0.HOG0017467	OG0015597	n0	ApeQuad_25839.1	rna-XM_040164706.1		g12549.t1		rna-XM_037454051.2
N0.HOG0017468	OG0015598	n0	ApeQuad_25840.1	rna-XM_040164708.1		g12548.t1		rna-XM_037454074.2
N0.HOG0017469	OG0015599	n0	ApeQuad_25845.1	rna-XM_040165292.1		g12547.t1		rna-XM_037454104.2
N0.HOG0017470	OG0015600	n0	ApeQuad_25846.1	rna-XM_040165296.1		g12546.t1		rna-XM_037454108.2
N0.HOG0017471	OG0015601	n0	ApeQuad_25858.1	rna-NM_001267652.1		g12538.t1		rna-XM_037454077.2
N0.HOG0017472	OG0015602	n0	ApeQuad_25859.1	rna-XM_040165116.1		g12537.t1		rna-XM_037454088.2
N0.HOG0017473	OG0015603	n0	ApeQuad_25860.7	rna-XM_040165115.1		g12536.t2		rna-XM_037454043.2
N0.HOG0017474	OG0015604	n0	ApeQuad_25863.1	rna-XM_040165114.1		g12535.t1		rna-XM_037454069.2
N0.HOG0017475	OG0015605	n0	ApeQuad_25864.1	rna-XM_040164670.1		g12534.t1		rna-XM_037454054.2
N0.HOG0017476	OG0015606	n0	ApeQuad_25865.1	rna-XM_040164676.1		g12533.t1		rna-XM_037454128.2
N0.HOG0017477	OG0015607	n0	ApeQuad_25868.1	rna-XM_040164671.1		g12531.t1		rna-XM_037454092.2
N0.HOG0017478	OG0015608	n0	ApeQuad_25869.2	rna-XM_040164854.1		g12530.t1		rna-XM_037454052.2
N0.HOG0017479	OG0015609	n0	ApeQuad_25870.1	rna-XM_040164672.1		g12529.t1		rna-XM_062565702.1
N0.HOG0017480	OG0015610	n0	ApeQuad_25871.1	rna-XM_040165129.1		g12528.t1		rna-XM_037454126.2
N0.HOG0017481	OG0015611	n0	ApeQuad_25872.1	rna-XM_040165125.1		g12527.t1		rna-XM_037454081.2
N0.HOG0017482	OG0015612	n0	ApeQuad_25874.1	rna-XM_040165127.1		g12526.t1		rna-XM_037454114.2
N0.HOG0017483	OG0015613	n0	ApeQuad_25875.1	rna-XM_040165982.1		g12524.t2		rna-XM_037454095.2
N0.HOG0017484	OG0015614	n0	ApeQuad_25877.2	rna-XM_040165977.1		g12523.t1		rna-XM_037454098.2
N0.HOG0017485	OG0015615	n0	ApeQuad_25879.1	rna-XM_040165971.1		g12522.t2		rna-XM_037454068.2
N0.HOG0017486	OG0015616	n0	ApeQuad_25880.1	rna-XM_040165375.1		g12521.t1		rna-XM_037454111.2
N0.HOG0017487	OG0015617	n0	ApeQuad_25892.1	rna-XM_040166057.1		g12515.t1		rna-XM_037455125.2
N0.HOG0017488	OG0015618	n0	ApeQuad_25893.1	rna-XM_040165208.1		g12514.t1		rna-XM_037453523.2
N0.HOG0017489	OG0015619	n0	ApeQuad_25894.1	rna-XM_040165209.1		g12513.t2		rna-XM_037453130.2
N0.HOG0017490	OG0015620	n0	ApeQuad_25898.1	rna-XM_040165370.1		g12511.t1		rna-XM_037453132.2
N0.HOG0017491	OG0015621	n0	ApeQuad_25901.1	rna-XM_040165139.1		g12508.t1		rna-XM_037453934.2
N0.HOG0017492	OG0015622	n0	ApeQuad_25902.3	rna-XM_040166498.1		g12507.t3		rna-XM_062565710.1
N0.HOG0017493	OG0015623	n0	ApeQuad_25904.1	rna-XM_040166097.1		g12505.t1		rna-XM_037453041.2
N0.HOG0017494	OG0015624	n0	ApeQuad_25906.2	rna-XM_040165589.1		g12504.t1		rna-XM_037453036.2
N0.HOG0017495	OG0015625	n0	ApeQuad_25907.2	rna-XM_040165547.1		g12503.t2		rna-XM_037453032.2
N0.HOG0017496	OG0015626	n0	ApeQuad_25911.1	rna-XM_040166086.1		g12499.t1		rna-XM_037453943.2
N0.HOG0017497	OG0015627	n0	ApeQuad_25913.1	rna-XM_040166100.1		g12497.t1		rna-XM_037452729.2
N0.HOG0017498	OG0015628	n0	ApeQuad_25914.1	rna-XM_040164425.1		g12496.t1		rna-XM_037454986.2
N0.HOG0017499	OG0015629	n0	ApeQuad_25915.1	rna-XM_040164418.1		g12494.t1		rna-XM_037454978.2
N0.HOG0017500	OG0015630	n0	ApeQuad_25916.1	rna-XM_040164878.1		g12493.t1		rna-XM_037454982.2
N0.HOG0017501	OG0015631	n0	ApeQuad_25919.1	rna-XM_040164433.1		g10635.t1		rna-XM_037455000.2
N0.HOG0017502	OG0015632	n0	ApeQuad_25924.1	rna-XM_040164426.1		g12489.t1		rna-XM_037454260.2
N0.HOG0017503	OG0015633	n0	ApeQuad_25930.1	rna-XM_040164441.1		g12484.t1		rna-XM_037454361.2
N0.HOG0017504	OG0015634	n0	ApeQuad_25932.1	rna-XM_040164444.1		g12483.t1		rna-XM_037452898.2
N0.HOG0017505	OG0015635	n0	ApeQuad_25934.1	rna-XM_040166268.1		g12482.t1		rna-XM_062565324.1
